level,code_name,geog,volume,structure,desc
AUS,NA,NA,NA,ABS,Australia
GCCSA,GCC_CODE11,ASGS,1270055001,ABS,Greater Capital City Statistical Areas
SA1,SA1_MAIN11,ASGS,1270055001,ABS,Statistical Area Level 1
SA2,SA2_MAIN11,ASGS,1270055001,ABS,Statistical Area Level 2
SA3,SA3_CODE11,ASGS,1270055001,ABS,Statistical Area Level 3
SA4,SA4_CODE11,ASGS,1270055001,ABS,Statistical Area Level 4
STE,STE_CODE11,ASGS,1270055001,ABS,States and Territories
IARE,IA_CODE11,ASGS,1270055002,ABS,Indigenous Areas
ILOC,IL_CODE11,ASGS,1270055002,ABS,Indigenous Locations
IREG,IR_CODE11,ASGS,1270055002,ABS,Indigenous Regions
ADD,ADD_CODE,ASGS,1270055003,Non-ABS,Australian Drainage Divisions
CED,CED_CODE,ASGS,1270055003,Non-ABS,Commonwealth Electoral Divisions
LGA,LGA_CODE11,ASGS,1270055003,Non-ABS,Local Government Areas
NRMR,NRMR_CODE,ASGS,1270055003,Non-ABS,Natural Resource Management Regions
POA,POA_CODE,ASGS,1270055003,Non-ABS,Postal Areas
SED,SED_CODE,ASGS,1270055003,Non-ABS,State Electoral Divisions
SSC,SSC_CODE,ASGS,1270055003,Non-ABS,State Suburbs
TR,TR_CODE11,ASGS,1270055003,Non-ABS,Tourism Region
SOS,SOS_CODE11,ASGS,1270055004,ABS,Section of State
SOSR,SSR_CODE11,ASGS,1270055004,ABS,Section of State Ranges
SUA,SUA_CODE11,ASGS,1270055004,ABS,Significant Urban Areas
UCL,URL_CODE11,ASGS,1270055004,ABS,Urban Centres and Localities
RA,RA_CODE11,ASGS,1270055005,ABS,Remoteness Areas
SLA,NA,ASGC,NA,NA,Statistical Local Areas
